ISIN code;Name;Asset class;Currency;Weight;Sector;Country
US67066G1040;NVIDIA CORP;EQUITY;USD; 9,16%;Information Technology;United States
US0378331005;APPLE INC;EQUITY;USD; 8,71%;Information Technology;United States
US0231351067;AMAZON.COM INC;EQUITY;USD; 7,28%;Consumer Discretionary;United States
US5949181045;MICROSOFT CORP;EQUITY;USD; 5,26%;Information Technology;United States
US88160R1014;TESLA INC;EQUITY;USD; 4,02%;Consumer Discretionary;United States
US11135F1012;BROADCOM INC;EQUITY;USD; 3,35%;Information Technology;United States
US02079K1079;ALPHABET INC CL C;EQUITY;USD; 2,57%;Communication Services;United States
US02079K3059;ALPHABET INC CL A;EQUITY;USD; 2,54%;Communication Services;United States
US0846707026;BERKSHIRE HATHAWAY INC-CL B;EQUITY;USD; 2,22%;Financials;United States
FR0000120271;TOTALENERGIES SE PARIS;EQUITY;EUR; 2,13%;Energy;France
US7475251036;QUALCOMM INC;EQUITY;USD; 1,99%;Information Technology;United States
US30303M1027;META PLATFORMS INC-CLASS A;EQUITY;USD; 1,80%;Communication Services;United States
US94106L1098;WASTE MANAGEMENT INC;EQUITY;USD; 1,78%;Industrials;United States
FR0000130809;SOCIETE GENERALE;EQUITY;EUR; 1,76%;Financials;France
US3696043013;GENERAL ELECTRIC;EQUITY;USD; 1,68%;Industrials;United States
US5128073062;LAM RESEARCH CORP;EQUITY;USD; 1,59%;Information Technology;United States
US1255231003;THE CIGNA GROUP;EQUITY;USD; 1,55%;Health Care;United States
US36828A1016;GE VERNOVA INC;EQUITY;USD; 1,45%;Industrials;United States
US12572Q1058;CME GROUP INC;EQUITY;USD; 1,37%;Financials;United States
US0970231058;BOEING CO/THE;EQUITY;USD; 1,32%;Industrials;United States
FR0000120644;DANONE;EQUITY;EUR; 1,27%;Consumer Staples;France
US09290D1019;BLACKROCK INC;EQUITY;USD; 1,26%;Financials;United States
US58933Y1055;MERCK & CO. INC.;EQUITY;USD; 1,25%;Health Care;United States
FR0000133308;ORANGE;EQUITY;EUR; 1,17%;Communication Services;France
US0605051046;BANK OF AMERICA CORP;EQUITY;USD; 1,12%;Financials;United States
US03831W1080;APPLOVIN CORP-CLASS A;EQUITY;USD; 1,10%;Information Technology;United States
US46625H1005;JPMORGAN CHASE & CO;EQUITY;USD; 1,09%;Financials;United States
US2788651006;ECOLAB INC;EQUITY;USD; 0,90%;Materials;United States
US0527691069;AUTODESK INC;EQUITY;USD; 0,85%;Information Technology;United States
US00287Y1091;ABBVIE INC;EQUITY;USD; 0,78%;Health Care;United States
US0494681010;ATLASSIAN CORP-CL A;EQUITY;USD; 0,71%;Information Technology;United States
US1491231015;CATERPILLAR INC;EQUITY;USD; 0,68%;Industrials;United States
US5801351017;MCDONALD S CORP  COM NPV;EQUITY;USD; 0,66%;Consumer Discretionary;United States
US1941621039;COLGATE-PALMOLIVE CO;EQUITY;USD; 0,65%;Consumer Staples;United States
FR0000120628;AXA SA;EQUITY;EUR; 0,65%;Financials;France
US0758871091;BECTON DICKINSON;EQUITY;USD; 0,64%;Health Care;United States
US6311031081;NASDAQ INC;EQUITY;USD; 0,64%;Financials;United States
IE000S9YS762;LINDE PLC;EQUITY;USD; 0,61%;Materials;United States
FR0000073272;SAFRAN SA;EQUITY;EUR; 0,58%;Industrials;France
FR0000121667;ESSILORLUXOTTICA;EQUITY;EUR; 0,57%;Health Care;France
US88579Y1010;3M CO;EQUITY;USD; 0,56%;Industrials;United States
US1101221083;BRISTOL-MYERS SQUIBB CO;EQUITY;USD; 0,54%;Health Care;United States
US74340W1036;PROLOGIS INC;EQUITY;USD; 0,54%;Real Estate;United States
US00724F1012;ADOBE INC;EQUITY;USD; 0,53%;Information Technology;United States
US0268747849;AMERICAN INTER.GROUP;EQUITY;USD; 0,53%;Financials;United States
US5717481023;MARSH & MCLENNAN COS;EQUITY;USD; 0,52%;Financials;United States
US1924461023;COGNIZANT TECH SOLUTION A;EQUITY;USD; 0,46%;Information Technology;United States
US37045V1008;GENERAL MOTORS CO;EQUITY;USD; 0,45%;Consumer Discretionary;United States
US4370761029;HOME DEPOT INC;EQUITY;USD; 0,44%;Consumer Discretionary;United States
US46187W1071;INVITATION HOMES;EQUITY;USD; 0,42%;Real Estate;United States
US46120E6023;INTUITIVE SURGICAL INC;EQUITY;USD; 0,41%;Health Care;United States
FR0013215407;ENGIE PRIME DE FIDELITE;EQUITY;EUR; 0,39%;Utilities;France
FR0011149590;L OREAL PRIME FIDELITE;EQUITY;EUR; 0,38%;Consumer Staples;France
US0090661010;AIRBNB INC-CLASS A;EQUITY;USD; 0,38%;Consumer Discretionary;United States
US8936411003;TRANSDIGM GROUP INC;EQUITY;USD; 0,37%;Industrials;United States
US04626A1034;ASTERA LABS INC;EQUITY;USD; 0,36%;Information Technology;United States
US2538681030;DIGITAL REALTY TRUST;EQUITY;USD; 0,36%;Real Estate;United States
US8085131055;SCHWAB (CHARLES) CORP;EQUITY;USD; 0,35%;Financials;United States
US0367521038;ELEVANCE HEALTH INC;EQUITY;USD; 0,34%;Health Care;United States
CH0044328745;CHUBB LTD;EQUITY;USD; 0,34%;Financials;United States
US12504L1098;CBRE GROUP INC;EQUITY;USD; 0,32%;Real Estate;United States
US9311421039;WALMART INC;EQUITY;USD; 0,32%;Consumer Staples;United States
CH0114405324;GARMIN LTD;EQUITY;USD; 0,30%;Consumer Discretionary;United States
US12503M1080;CBOE GLOBAL MARKETS INC;EQUITY;USD; 0,28%;Financials;United States
